Termino_Ingles,Transcripcion_IPA
sinusoid,ˈsaɪnəˌsɔɪd
parabolic,ˌpɛrəˈbɑlɪk
interesting,ˈɪntəˌrɛstɪŋ
telepathic,ˌtɛləˈpæθək
ultimatum,ˌəltəˈmeɪtəm
uncoil,ˌənˈkɔɪl
regularly,ˈrɛgjələrli
payday,ˈpeɪˌdeɪ
dormancy,ˈdɔrmənsi
stallion,ˈstæljən
ironical,aɪˈrɑnɪkəl
latest,ˈleɪtəst
capitol,ˈkæpɪtəl
seasonable,ˈsizənəbəl
pina,ˈpinə
uncertainly,ənˈsərtənli
dissatisfied,dɪˈsætəsˌfaɪd
deflate,dɪˈfleɪt
solidarity,ˌsɑləˈdɛrəti
buildable,ˈbɪldəbəl
storting,ˈstɔrtɪŋ
shaped,ʃeɪpt
jing,ʤɪŋ
sonorous,ˈsɑnərəs
exalt,ɪgˈzɔlt
ab,æb
rancher,ˈrænʧər
nonoperating,ˈnɑˈnɔpərˌeɪtɪŋ
diacritical,ˌdaɪəˈkrɪtəkəl
quaking,kˈweɪkɪŋ
phase,feɪz
sopping,ˈsɑpɪŋ
nunnery,ˈnənəri
cerebrally,sərˈibrəli
catching,ˈkæʧɪŋ
redemptive,rɪˈdɛmtɪv
mock,mɑk
stamping,ˈstæmpɪŋ
passably,ˈpæsəbli
breakdown,ˈbreɪkˌdaʊn
parochialism,pərˈoʊkiəˌlɪzəm
vanishing,ˈvænɪʃɪŋ
brutalization,ˈbrutələˌzeɪʃən
ruffin,ˈrəfɪn
swapping,sˈwɑpɪŋ
otology,oʊˈtɑləʤi
subject,ˈsəbʤɪkt
harmonium,hɑrˈmoʊniəm
joke,ʤoʊk
needles,ˈnidəlz
plumb,pləm
inimical,ˌɪˈnɪmɪkəl
paunchy,ˈpɔnʧi
barnstorm,ˈbɑrnˌstɔrm
colter,ˈkoʊltər
woolly,ˈwʊli
blayne,bleɪn
urbanite,ˈərbəˌnaɪt
assure,əˈʃʊr
lek,lɛk
pavia,ˈpeɪviə
chateau,ʃæˈtoʊ
oneida,oʊˈnaɪdə
sweep,swip
machinist,məˈʃinəst
filtration,fɪlˈtreɪʃən
collaborate,kəˈlæbərˌeɪt
phalanges,fəˈlænʤiz
predictive,prɪˈdɪktɪv
forwarder,ˈfɔrwərdər
gascon,ˈgæskən
sang,sæŋ
dressmaker,ˈdrɛsˌmeɪkər
macrame,ˈmækrəˌmeɪ
gable,ˈgeɪbəl
unadjust,ˌənəˈʤəst
oceanside,ˈoʊʃənˌsaɪd
cloaked,kloʊkt
hibernate,ˈhaɪbərˌneɪt
coppery,ˈkɑpəri
besides,ˌbiˈsaɪdz
aide,eɪd
congregation,ˌkɑŋgrəˈgeɪʃən
recent,ˈrisənt
kell,kɛl
inexcusable,ˌɪnɪkˈskjuzəbəl
bather,ˈbæðər
ambling,ˈæmbəlɪŋ
technicolor,ˈtɛknɪˌkələr
nurseryman,ˈnərsəriˌmæn
reedy,ˈridi
chess,ʧɛs
anticancer,ˌænˌtiˈkænsər
veldman,ˈvɛldmən
seel,sil
unpretentious,ˌənpriˈtɛnʃəs
trash,træʃ
beautifully,ˈbjutəfli
transcript,ˈtrænˌskrɪpt
iva,ˈivə
fortunately,ˈfɔrʧənətli
gentlemanly,ˈʤɛnəlmənli
dildo,ˈdɪlˌdoʊ
troublesome,ˈtrəbəlsəm
promissory,ˈprɑməˌsɔri
cheesy,ˈʧizi
though,ðoʊ
mun,mən
temperamental,ˌtɛmpərˈmɛntəl
inflate,ɪnˈfleɪt
bonfire,ˈbɑnˌfaɪər
screech,skriʧ
scout,skaʊt
seniority,sinˈjɔrɪti
comparator,kəmˈpærəˌtər
betrayal,bɪˈtreɪəl
candlestick,ˈkændəlˌstɪk
patriot,ˈpeɪtriət
diligently,ˈdɪləʤəntli
purveyor,pərˈveɪər
main,meɪn
conditionality,kənˌdɪʃəˈnælɪti
furthermore,ˈfərðərˌmɔr
transducer,trænsˈdusər
redirection,ˌridərˈɛkʃən
overruling,ˈoʊvərˌrulɪŋ
cob,kɑb
predaceous,priˈdeɪʃəs
burr,bər
pagan,ˈpeɪgən
sedative,ˈsɛdətɪv
backstroke,ˈbækˌstroʊk
baud,bɔd
cogitation,ˌkɑʤɪˈteɪʃən
invade,ˌɪnˈveɪd
mislead,mɪsˈlid
evadne,ɪˈvɛdni
waned,weɪnd
millisecond,ˈmɪlɪˌsɛkənd
officer,ˈɔfɪsər
glockenspiel,ˈglɑkənˌspil
ensconce,ɪnˈskɑns
reassuringly,riəˈʃʊrɪŋli
bossed,bɑst
brookside,ˈbrʊkˌsaɪd
combination,ˌkɑmbəˈneɪʃən
carmela,kɑrˈmɛlɑ
victorian,vɪkˈtɔriən
surrebuttal,ˈsərɪbətəl
defense,dɪˈfɛns
parallax,ˈpɛrəˌlæks
forcing,ˈfɔrsɪŋ
digs,dɪgz
allay,əˈleɪ
orchestration,ˌɔrkəˈstreɪʃən
telescope,ˈtɛləˌskoʊp
affect,əˈfɛkt
disruptive,dɪsˈrəptɪv
johnathan,ˈʤɑnəθən
certainty,ˈsərtənti
solemnity,səˈlɛmnəti
jurisprudential,ˌʤʊrəˌspruˈdɛnʃəl
ambassadorship,æmˈbæsədərˌʃɪp
seater,ˈsitər
insinuation,ˌɪnˌsɪnjuˈeɪʃən
ruminant,ˈrumənənt
fertilization,ˌfərtəlɪˈzeɪʃən
ohm,oʊm
billy,ˈbɪli
principia,prɪnˈsɪpiə
graceful,ˈgreɪsfəl
flunk,fləŋk
stew,stu
grappling,ˈgræpəlɪŋ
seaward,ˈsiwərd
doubled,ˈdəbəld
speedily,ˈspidəli
electrically,ɪˈlɛktrɪkəli
tench,tɛnʧ
transpire,trænˈspaɪər
angry,ˈæŋgri
skyward,ˈskaɪwərd
barrel,ˈbɛrəl
easygoing,ˈiziˈgoʊɪŋ
corey,ˈkɔri
unscientific,ənˌsaɪənˈtɪfɪk
constrain,kənˈstreɪn
raveling,ˈrævəlɪŋ
racism,ˈreɪˌsɪzəm
fixable,ˈfɪksəbəl
spiro,ˈspɪˌroʊ
supersecret,ˈsupərˌsikrɪt
dido,ˈdaɪdoʊ
totty,ˈtɑti
outage,ˈaʊtɪʤ
marshland,ˈmɑrʃˌlænd
chili,ˈʧɪli
abolition,ˌæbəˈlɪʃən
matrilineal,ˌmætrɪˈlɪniəl
ledge,lɛʤ
remedial,rɪˈmidiəl
serbian,ˈsərbiən
embattled,ɛmˈbætəld
insulation,ˌɪnsəˈleɪʃən
gil,gɪl
wolverine,ˌwʊlvərˈin
nefarious,nəˈfɛriəs
linchpin,ˈlɪnʧˌpɪn
expertly,ˈɛkspərtli
dogmatic,dɔgˈmætɪk
minaret,ˌmɪnərˈɛt
intercompany,ˌɪntərˈkəmpəni
exportable,ɛkˈspɔrtəbəl
crimson,ˈkrɪmzən
amphibian,æmˈfɪbiən
scorcher,ˈskɔrʧər
zaibatsu,ˌzeɪˈbætˌsu
stethoscope,ˈstɛθəˌskoʊp
key,ki
inhabit,ˌɪnˈhæbət
regency,ˈriʤənsi
bravely,ˈbreɪvli
unproven,ənˈpruvən
unwillingly,ənˈwɪlɪŋli
orris,ˈɔrɪs
carnal,ˈkɑrnəl
octahedral,ˌɑktəˈhidrəl
culver,ˈkəlvər
typhoon,ˌtaɪˈfun
mille,mɪl
axle,ˈæksəl
bemusement,ˈbɛmjusmənt
steadfast,ˈstɛdˌfæst
gonorrhea,ˌgɑnərˈiə
incursion,ˌɪnˈkərʒən
whet,wɛt
wring,rɪŋ
magellan,məˈʤɛlən
patagonian,ˌpætəˈgoʊniən
arouse,əraʊz
premiere,prɛˈmɪr
knab,næb
psychiatric,ˌsaɪkiˈætrɪk
paternalism,pəˈtərnəˌlɪzəm
impacted,ˌɪmˈpæktɪd
winterbourne,ˈwɪntərˌbɔrn
soup,sup
unanswered,ˌəˈnænsərd
courier,ˈkəriər
unconventional,ˌənkənˈvɛnʃənəl
puffed,pəft
albright,ˈɔlˌbraɪt
intensive,ˌɪnˈtɛnsɪv
aix,ɛks
needled,ˈnidəld
bluebird,ˈbluˌbərd
skittles,ˈskɪtəlz
adept,əˈdɛpt
grayish,greɪɪʃ
collectively,kəˈlɛktɪvli
bander,ˈbændər
threat,θrɛt
denmark,ˈdɛnˌmɑrk
discipline,ˈdɪsəplən
materialistic,məˌtɪriəˈlɪstɪk
expediency,ɪkˈspidiənsi
bind,baɪnd
bribe,braɪb
purchase,ˈpərʧəs
raindrop,ˈreɪnˌdrɑp
vigilantism,ˌvɪʤəˈlæntɪzəm
unpublished,ənˈpəblɪʃt
monopoly,məˈnɑpəli
gregg,grɛg
capella,kəˈpɛlə
helpful,ˈhɛlpfəl
dale,deɪl
psychokinesis,ˌsaɪkoʊkəˈnisəs
reassign,ˌriəˈsaɪn
bayard,beɪərd
unscrupulous,ənˈskrupjələs
part,pɑrt
constitute,ˈkɑnstəˌtut
misconception,mɪskənˈsɛpʃən
warner,ˈwɔrnər
opalina,oʊpɑˈlinə
jelly,ˈʤɛli
deployment,dɪˈplɔɪmənt
olympus,oʊˈlɪmpəs
squashy,skˈwɑʃi
stratospheric,ˌstrætəsˈfɪrɪk
rope,roʊp
misty,ˈmɪsti
inexperienced,ˌɪnɛkˈspɪriənst
alkaline,ˈælkəˌlaɪn
thone,θoʊn
palmistry,ˈpɑmɪstri
viability,vaɪəˈbɪləti
etch,ɛʧ
cornelius,kɔrˈniljəs
epsom,ˈɛpsəm
reif,rif
montezuma,ˌmɑntɛˈzumə
wrongdoer,ˈrɔŋˈduər
grackle,ˈgrækəl
stoic,stoʊɪk
theobald,ˈθiəˌbɑld
porteous,ˈpɔrtiɪs
landfall,ˈlændˌfɔl
ferry,ˈfɛri
peasantry,ˈpɛzəntri
compellingly,kəmˈpɛlɪŋli
friday,ˈfraɪˌdeɪ
versus,ˈvərsəz
bulb,bəlb
rower,roʊər
kale,keɪl
sequential,səkˈwɛnʃəl
grandson,ˈgrændˌsən
scuttlebutt,ˈskətəlˌbət
copyrightable,ˈkɑpiˌraɪtəbəl
nuclei,ˈnukliˌaɪ
dibble,ˈdɪbəl
maneuverability,məˌnuvərəˈbɪlɪti
unimpeded,ˌənɪmˈpidɪd
midwesterner,ˌmɪdˈwɛstərnər
meddling,ˈmɛdəlɪŋ
pence,pɛns
ocelot,ˈɑsəˌlɑt
alongside,əˈlɔŋˈsaɪd
nighttime,ˈnaɪtˌtaɪm
inadequate,ˌɪˈnædəkˌweɪt
zuni,ˈzuˌni
xenophobia,ˌzɛnəˈfoʊbiə
raiser,ˈreɪzər
seriousness,ˈsɪriəsnəs
nearly,ˈnɪrli
repossession,ˌripəˈzɛʃən
jochen,ˈʤoʊkən
habitual,həˈbɪʧuəl
gemmer,ˈgɛmər
direct,dɪˈrɛkt
collum,ˈkɑləm
appointment,əˈpɔɪntmənt
haida,ˈhaɪdə
bantam,ˈbæntəm
excited,ɪkˈsaɪtɪd
outdoors,ˈaʊtˈdɔrz
capitalism,ˈkæpɪtəˌlɪzəm
outlaw,ˈaʊˌtlɔ
integer,ˈɪntəʤər
magdalene,ˈmægdəˌlin
audition,ɑˈdɪʃən
guardrail,ˈgɑrˌdreɪl
psychosis,saɪˈkoʊsəs
monsignor,mɑnˈsinjər
exfoliation,ɛksˌfoʊliˈeɪʃən
glade,gleɪd
undemocratic,ˌəndɛməˈkrætɪk
shortness,ˈʃɔrtnəs
halbert,ˈhælbərt
reeled,rild
magnetite,ˈmægnəˌtaɪt
testor,ˈtɛstər
misread,mɪsˈrɛd
glibly,ˈglɪbli
larvae,ˈlɑrvi
jun,ʤən
bink,bɪŋk
uninvolved,ənɪnˈvɔlvd
redirect,ˌridərˈɛkt
trusting,ˈtrəstɪŋ
unearth,əˈnərθ
uncured,ˌənˈkjərd
dynasty,ˈdaɪnəsti
outgrow,ˌaʊtˈgroʊ
size,saɪz
bedstraw,ˈbɛdˌstrɔ
vision,ˈvɪʒən
curry,ˈkəri
boosterism,ˈbustərˌɪzəm
andreas,ɑnˈdreɪəs
obstreperous,əbˈstrɛpərəs
business,ˈbɪznɪs
dharma,ˈdɑrmə
listing,ˈlɪstɪŋ
hysterectomy,ˌhɪstərˈɛktəmi
scissors,ˈsɪzərz
invulnerable,ˌɪnˈvəlnərəbəl
electoral,ɪˈlɛktərəl
turbofan,ˈtərboʊˌfæn
work,wərk
adulate,ˈæʤəˌleɪt
proscribe,proʊˈskraɪb
supporter,səˈpɔrtər
idealistic,aɪˌdiəˈlɪstɪk
curricular,kərˈɪkjəˌlər
shrubby,ʃˈrəbi
workplace,ˈwərkˌpleɪs
moul,maʊl
niggardliness,ˈnɪgərdlinəs
fortune,ˈfɔrʧən
cheapen,ˈʧipən
nary,ˈnɛri
ulcer,ˈəlsər
fidelity,ˌfaɪˈdɛləti
solicitude,səˈlɪsɪˌtud
decant,dəˈkænt
bernie,ˈbərni
imperialism,ˌɪmˈpɪriəˌlɪzəm
diverticulum,ˌdaɪvərˈtɪkjələm
unsolicited,ˌənsəˈlɪsɪtɪd
bely,bəˈlaɪ
grantor,ˈgræntər
titus,ˈtaɪtəs
crystallography,ˌkrɪstəˈlɑgrəfi
balsa,ˈbɔlsə
winnow,ˈwɪˌnoʊ
victory,ˈvɪktəri
outwardly,ˈaʊtwərdli
resent,rɪˈzɛnt
dum,dəm
proviso,prəˈvaɪzoʊ
unbearably,ənˈbɛrəbli
considerable,kənˈsɪdərəbəl
babble,ˈbæbəl
belinda,bɛˈlɪndə
freddy,ˈfrɛdi
mob,mɑb
manioc,ˈmæniˌɑk
rudder,ˈrədər
rueful,ˈrufəl
widely,ˈwaɪdli
harbor,ˈhɑrbər
modify,ˈmɑdəˌfaɪ
nonentity,nɑˈnɛntəti
viscous,ˈvɪskəs
primer,ˈpraɪmər
indistinguishable,ˌɪndɪˈstɪŋgwɪʃəbəl
enjoy,ˌɛnˈʤɔɪ
mantle,ˈmæntəl
legislatively,ˈlɛʤɪsˌleɪtɪvli
hungry,ˈhəŋgri
crom,krɑm
surette,sərˈɛt
misunderstanding,ˌmɪsəndərˈstændɪŋ
synagogue,ˈsɪnəˌgɔg
unconverted,ˌənkənˈvərtɪd
deductively,dɪˈdəktəvli
brunet,bruˈnɛt
biedermeier,ˈbidərˌmaɪər
retransmission,ˌritrænzˈmɪʃən
traversing,trəˈvərsɪŋ
determinative,dɪˈtərmɪnəˌtɪv
corrupt,kərəpt
anesthesiologist,ˌænəsˌθiziˈɑləʤɪst
anise,ˈænəs
unashamedly,ˌənəˈʃeɪmədli
impromptu,ˌɪmˈprɑmptu
cheese,ʧiz
storm,stɔrm
remi,ˈrɛmi
drunken,ˈdrəŋkən
fascinating,ˈfæsəˌneɪtɪŋ
humming,ˈhəmɪŋ
desirability,dɪˌzaɪrəˈbɪlɪti
honey,ˈhəni
abba,ˈæbə
nicely,ˈnaɪsli
tetrahedron,ˌtɛtrəˈhidrən
grimness,ˈgrɪmnəs
matty,ˈmæti
entrepreneurial,ˌɑntrəprəˈnəriəl
nelson,ˈnɛlsən
heartbreaking,ˈhɑrtˌbreɪkɪŋ
drapery,ˈdreɪpəri
virologist,vɪˈrɑləʤɪst
utility,juˈtɪləti
speedway,ˈspidˌweɪ
cider,ˈsaɪdər
ido,ˈiˌdoʊ
confect,kənˈfɛkt
kittiwake,ˈkɪtɪˌweɪk
hayfield,ˈheɪˌfild
gratitude,ˈgrætəˌtud
integument,ˌɪnˈtɛgjəmənt
calabrese,kɑlɑˈbreɪzi
unworthy,ənˈwərði
kapur,ˈkæpər
edgeways,ˈɛʤˌweɪz
ramify,ˈræməˌfaɪ
normally,ˈnɔrməli
monolithic,ˌmɑnəˈlɪθɪk
narration,nɛˈreɪʃən
tortilla,tɔrˈtiə
meticulously,məˈtɪkjələsli
anathema,əˈnæθəmə
tastiness,ˈteɪstinəs
birle,bərl
stary,ˈstɛri
quantifiable,kˌwɑntɪˈfaɪəbɛl
pinball,ˈpɪnˌbɔl
ostensibly,ɑˈstɛnsəbli
steward,stuərd
cellist,ˈʧɛləst
perchloric,pərˈklɔrɪk
permutate,ˈpərmjuˌteɪt
follower,ˈfɑloʊər
exuberance,ɪgˈzubərəns
alehouse,ˈeɪˌlhaʊs
carl,kɑrl
herbaceous,ərˈbeɪʃəs
inversely,ˌɪnˈvərsli
lazuli,ləˈzuli
appear,əˈpɪr
difficulty,ˈdɪfɪˌkəlti
fender,ˈfɛndər
usable,ˈjuzəbəl
comino,kəˈminoʊ
humbug,ˈhəmˌbəg
toll,toʊl
detest,dɪˈtɛst
backfire,ˈbækˌfaɪr
gnash,næʃ
nutritious,nuˈtrɪʃəs
moyle,mɔɪl
flattering,ˈflætərɪŋ
hybrid,ˈhaɪbrɪd
bakery,ˈbeɪkəri
equate,ɪkˈweɪt
admitted,ədˈmɪtəd
bortz,bɔrts
manifestation,ˌmænəfɛˈsteɪʃən
lunatic,ˈlunəˌtɪk
larva,ˈlɑrvə
erode,ˈiroʊd
strikebreaker,ˈstraɪkˌbreɪkər
wu,wu
recreation,ˌrɛkriˈeɪʃən
murillo,məˈrɪloʊ
furrier,ˈfəriər
curing,ˈkjʊrɪŋ
inconclusively,ˌɪŋˈkɑnklusɪvli
ibex,ˈaɪbɛks
dermal,ˈdərməl
uncorrected,ˌənkərˈɛktɪd
arba,ˈɑrbə
tiptoe,ˈtɪpˌtoʊ
introduce,ˌɪntrəˈdus
brit,brɪt
gurgling,ˈgərgəlɪŋ
struck,strək
offense,əˈfɛns
sternpost,ˈstərnˌpoʊst
staggers,ˈstægərz
disingenuousness,ˌdɪsɪnˈʤɛnjuəsnəs
mesothorax,ˌmɛzəˈθɔˌræks
auctioneer,ˌɑkʃəˈnɪr
biggest,ˈbɪgəst
incisive,ˌɪnˈsaɪsɪv
abdomen,ˈæbdəmən
despair,dɪˈspɛr
saying,seɪɪŋ
prurient,ˈprʊriənt
tunicate,ˈtunɪkət
nonvolatile,nɑnˈvɑlətəl
werther,ˈwərðər
parchmentlike,ˈpɑrʧmənˌtlaɪk
steelhead,ˈstiˌlhɛd
twang,twɑŋ
ad,æd
finisher,ˈfɪnɪʃər
soccer,ˈsɑkər
advice,ədˈvaɪs
parthenogenetic,ˌpɑrθənoʊʤəˈnɛtɪk
wilk,wɪlk
confiscatory,kənˈfɪskəˌtɔri
locking,ˈlɑkɪŋ
gill,gɪl
yoga,ˈjoʊgə
iceberg,ˈaɪsbərg
cooing,kuɪŋ
nonsmoker,nɑnsˈmoʊkər
lawing,lɔɪŋ
tritium,ˈtrɪtiəm
outland,ˈaʊˌtlænd
rep,rɛpriˈzɛtətɪv
liberia,ˌlaɪˈbɪˌriə
empower,ɪmˈpaʊər
charitable,ˈʧɛrətəbəl
tympanum,ˈtɪmpənəm
joule,ʤul
pectoral,ˈpɛktərəl
theologically,ˌθiəˈlɑʤɪkli
indulge,ˌɪnˈdəlʤ
trice,traɪs
frosted,ˈfrɔstɪd
ninefold,ˈnɪnˌfoʊld
aspire,əˈspaɪr
salter,ˈsɔltər
rodman,ˈrɑdmən
cornflower,ˈkɔrnˌflaʊər
urging,ˈərʤɪŋ
covent,ˈkəvənt
understaff,ˈəndərˌstæf
abandon,əˈbændən
leviathan,lɛˈvaɪəθən
lucia,ˈluʃə
bally,ˈbæli
tourette,tərˈɛt
gilden,ˈgɪldən
oak,oʊk
inn,ɪn
pennsylvanian,ˌpɛnsɪlˈveɪniən
intolerant,ˌɪnˈtɑlərənt
defenestration,diˌfɛnɛˈstreɪʃən
colin,ˈkoʊlɪn
nickey,ˈnɪki
afterhours,ˈæftərˌhaʊərz
conflate,kənˈfleɪt
invasive,ˌɪnˈveɪsɪv
leila,ˈlilə
festoon,ˌfɛˈstun
reforest,riˈfɔrəst
braiding,ˈbreɪdɪŋ
assemble,əˈsɛmbəl
sewing,soʊɪŋ
stopped,stɑpt
omnivorous,ɑmˈnɪvərəs
leninist,ˈlɛnɪnɪst
enforceable,ɛnˈfɔrsəbəl
compress,ˈkɑmprɛs
gearbox,ˈgɪrˌbɑks
vesuvius,vəˈsuviəs
funder,ˈfəndər
reamy,ˈrimi
elate,ɪˈleɪt
polder,ˈpoʊldər
hempen,ˈhɛmpən
vessel,ˈvɛsəl
cannabis,ˈkænəbəs
annette,əˈnɛt
sprung,sprəŋ
heathen,ˈhiðən
welfare,ˈwɛlˌfɛr
lei,leɪ
schoolcraft,ˈskulˌkræft
miranda,mərˈændə
proletariat,ˌproʊləˈtɛriət
earner,ˈərnər
investable,ˌɪnˈvɛstəbəl
manageable,ˈmænɪʤəbəl
predicate,ˈprɛdɪkət
feigned,feɪnd
unreasonably,ənˈrizənəbli
slew,slu
unchanged,ənˈʧeɪnʤd
vinegar,ˈvɪnəgər
overfed,ˌoʊvərˈfɛd
threadfin,θˈrɛdfɪn
bevel,ˈbɛvəl
afghan,ˈæfˌgæn
nan,næn
knight,naɪt
erroneously,ɛˈroʊniəsli
congresswoman,ˈkɑŋgrəsˌwʊmən
cardinal,ˈkɑrdɪnəl
designer,dɪˈzaɪnər
interplanetary,ˌɪntərˈplænəˌtɛri
thursday,ˈθərzˌdeɪ
gynecologist,ˌgaɪnəˈkɑləʤəst
customary,ˈkəstəˌmɛri
disincline,ˌdɪsɪnˈklaɪn
subspace,ˈsəbˌspeɪs
brawner,ˈbrɔnər
annoyance,əˈnɔɪəns
icon,ˈaɪkɑn
behest,bɪˈhɛst
modern,ˈmɑdərn
bullfight,ˈbʊlˌfaɪt
teary,ˈtɪri
enemy,ˈɛnəmi
sinus,ˈsaɪnəs
faintness,ˈfeɪntnəs
losh,lɑʃ
quick,kwɪk
bugaboo,ˈbəgəˌbu
tenable,ˈtɛnəbəl
run,rən
rushing,ˈrəʃɪŋ
superimpose,ˌsupərəmˈpoʊz
cyrilla,sɪˈrɪlə
teri,ˈtɛri
khanate,ˈkɑneɪt
drawer,drɔr
know,noʊ
hyperbola,haɪˈpərbələ
steven,ˈstivən
rhetoric,ˈrɛtərɪk
carnauba,kɑrˈnɔbɑ
insane,ˌɪnˈseɪn
hellier,ˈhɛljər
journalistically,ˌʤərnəˈlɪstɪkəli
nonfood,ˈnɑnˈfud
fought,fɔt
victorious,vɪkˈtɔriəs
frostbite,ˈfrɔstˌbaɪt
bible,ˈbaɪbəl
si,si
algol,ˈælgɑl
thermometer,θərˈmɑmətər
revolution,ˌrɛvəˈluʃən
rankle,ˈræŋkəl
erudite,ˈɛrəˌdaɪt
cheek,ʧik
bort,bɔrt
define,dɪˈfaɪn
shrinking,ʃˈrɪŋkɪŋ
compute,kəmˈpjut
dehumanization,ˌdiˌhjumənəˈzeɪʃən
leek,lik
halogen,ˈhæləʤən
dutchman,ˈdəʧmən
teddy,ˈtɛdi
greenstone,ˈgrinˌstoʊn
functionally,ˈfəŋkʃənəli
visibility,ˌvɪzəˈbɪlɪti
realistically,ˌriəˈlɪstɪkli
arrogant,ˈɛrəgənt
gasping,ˈgæspɪŋ
jule,ʤul
chopper,ˈʧɑpər
posteriors,ˌpɔˈstɪrjərz
circumnavigate,ˌsərkəmˈnævəˌgeɪt
ferocity,fərˈɑsəti
ventilating,ˈvɛntɪˌleɪtɪŋ
grounder,ˈgraʊndər
chink,ʧɪŋk
admittedly,ædˈmɪtɪdli
mustard,ˈməstərd
mohican,ˌmoʊˈhikən
specialized,ˈspɛʃəˌlaɪzd
triassic,ˌtraɪˈæˌsɪk
idleman,ˈaɪdəlmən
swat,swɑt
inpatient,ˈɪnˌpeɪʃənt
semantics,sɪˈmæntɪks
moi,mwɑ
lak,læk
hacked,hækt
splatter,ˈsplætər
pep,pɛp
de,də
identifiable,aɪˈdɛntəˌfaɪəbəl
baldwin,ˈbɔldwən
dearly,ˈdɪrli
sympathetic,ˌsɪmpəˈθɛtɪk
exculpatory,ˌɛkˈskəlpəˌtɔri
corroboration,kərˌɔbərˈeɪʃən
popularize,ˈpɑpjələrˌaɪz
opponent,əˈpoʊnənt
synch,sɪnʧ
uniformed,ˈjunəˌfɔrmd
truck,trək
akimbo,əˈkɪmˌboʊ
wincing,ˈwɪnsɪŋ
fearful,ˈfɪrfəl
raconteur,ˌrækɑnˈtur
jabbing,ˈʤæbɪŋ
grudgingly,ˈgrəʤɪŋli
friction,ˈfrɪkʃən
uncompleted,ˌənkəmˈplitɪd
schiavone,skiɑˈvoʊni
misperception,ˌmɪspərˈsɛpʃən
fiscal,ˈfɪskəl
curried,ˈkərid
batter,ˈbætər
fennel,ˈfɛnəl
prodigal,ˈprɑdɪgəl
piracy,ˈpaɪrəsi
memorably,ˈmɛmərəbli
bolling,ˈboʊlɪŋ
powder,ˈpaʊdər
perceiving,pərˈsivɪŋ
plutonic,pluˈtɑnɪk
obsidian,əbˈsɪdiən
sen,sɛn
helpfully,ˈhɛlpfəli
chopin,ˈʃoʊpæn
hui,huɪ
mohair,ˈmoʊˌhɛr
hurtle,ˈhərtəl
unwritten,ənˈrɪtən
procession,prəˈsɛʃən
inadvisable,ˌɪnədˈvaɪzəbəl
recourse,ˈrikɔrs
harold,ˈhɛrəld
bonito,bəˈnitoʊ
dimmer,ˈdɪmər
perfecting,pərˈfɛktɪŋ
excess,ˈɛkˌsɛs
cologne,kəˈloʊn
requiem,ˈrɛkwiəm
pathan,ˈpæθən
flippant,ˈflɪpənt
genoa,ˈʤɛnoʊə
jara,ˈʤɑrə
mounted,ˈmaʊnɪd
fumbling,ˈfəmbəlɪŋ
lounge,laʊnʤ
zulu,ˈzuˌlu
philippic,fɪˈlɪpɪk
workman,ˈwərkmən
fearless,ˈfɪrləs
prick,prɪk
augustin,aʊguˈstin
sneer,snɪr
brightly,ˈbraɪtli
portent,ˈpɔrtɛnt
brace,breɪs
revaluation,riˈvæljuˈeɪʃən
hohn,hɑn
intense,ˌɪnˈtɛns
invite,ˌɪnˈvaɪt
toxicologist,ˌtɑksɪˈkɑləʤɪst
sandy,ˈsændi
distressingly,dɪˈstrɛsɪŋli
manter,ˈmæntər
capes,keɪps
clank,klæŋk
prey,preɪ
assertive,əˈsərtɪv
sultan,ˈsəltən
masker,ˈmæskər
basal,ˈbeɪsəl
desist,dɪˈzɪst
kiri,ˈkɪri
pauper,ˈpɔpər
gastric,ˈgæstrɪk
unmistakable,ˌənmɪˈsteɪkəbəl
grobian,ˈgroʊbiən
pointedly,ˈpɔɪntɪˌdli
bruce,brus
haploid,ˈhæplɔɪd
pied,paɪd
widowed,ˈwɪdoʊd
bristle,ˈbrɪsəl
kieran,ˈkirən
brother,ˈbrəðər
centrifuge,ˈsɛntrəfˌjuʤ
uranus,ˈjərənəs
halibut,ˈhæləbət
punditry,ˈpəndətri
appall,əˈpɔl
easter,ˈistər
hartshorn,ˈhɑrtsˌhɔrn
unconcerned,ˌənkənˈsərnd
bowie,boʊi
poorhouse,ˈpuˌrhaʊs
dump,dəmp
bogeyman,ˈbʊgiˌmæn
amidships,əˈmɪdʃɪps
portrayal,pɔrˈtreɪəl
endurance,ˈɛndərəns
board,bɔrd
meander,miˈændər
entrance,ˈɛntrəns
fugue,fjug
shopworn,ˈʃɑpˌwɔrn
ailment,ˈeɪlmənt
synthetic,sɪnˈθɛtɪk
offensively,əˈfɛnsɪvli
addendum,əˈdɛndəm
rippon,ˈrɪpən
deadhead,ˈdɛˌdhɛd
circled,ˈsərkəld
maiden,ˈmeɪdən
differ,ˈdɪfər
accused,əˈkjuzd
grained,greɪnd
renter,ˈrɛntər
virology,vɪˈrɑləʤi
exile,ˈɛkˌsaɪl
lou,lu
hullabaloo,ˌhələbəˈlu
disheartening,ˌdɪsˈhɑrtnɪŋ
urology,jərˈɑləʤi
bree,bri
phenomenally,fəˈnɑmənəli
ghetto,ˈgɛtoʊ
nace,neɪs
seabeach,ˈsiˌbiʧ
stalling,ˈstɔlɪŋ
hatt,hæt
